FeatureItem-1; ; ; ; ; 
Category;Parameters;Feature;Parameters;Preprocess;Parameters
GrayLevelCooccurenceMatrix25;" Direction=0   45   90  135  180  225  270  315; AdaptLimitLevel=0; GrayLimits=0  2100; NumLevels=100; Offset=1  4  7; Symmetric=0; ";AutoCorrelation; ; ; 
 ; ;ClusterProminence; ; ; 
 ; ;ClusterShade; ; ; 
 ; ;ClusterTendendcy; ; ; 
 ; ;Contrast; ; ; 
 ; ;Correlation; ; ; 
 ; ;DifferenceEntropy; ; ; 
 ; ;Dissimilarity; ; ; 
 ; ;Energy; ; ; 
 ; ;Entropy; ; ; 
 ; ;Homogeneity; ; ; 
 ; ;Homogeneity2; ; ; 
 ; ;InformationMeasureCorr1; ; ; 
 ; ;InformationMeasureCorr2; ; ; 
 ; ;InverseDiffMomentNorm; ; ; 
 ; ;InverseDiffNorm; ; ; 
 ; ;InverseVariance; ; ; 
 ; ;MaxProbability; ; ; 
 ; ;SumAverage; ; ; 
 ; ;SumEntropy; ; ; 
 ; ;SumVariance; ; ; 
 ; ;Variance; ; ; 
 ; ; ; ; ; 
FeatureItem-2; ; ; ; ; 
Category;Parameters;Feature;Parameters;Preprocess;Parameters
GrayLevelCooccurenceMatrix3;" Direction=0   1   2   3   4   5   6   7   8   9  10  11  12; GrayLimits=0  2100; NumLevels=100; Offset=1  4  7; Symmetric=0; ";AutoCorrelation; ; ; 
 ; ;ClusterProminence; ; ; 
 ; ;ClusterShade; ; ; 
 ; ;ClusterTendendcy; ; ; 
 ; ;Contrast; ; ; 
 ; ;Correlation; ; ; 
 ; ;DifferenceEntropy; ; ; 
 ; ;Dissimilarity; ; ; 
 ; ;Energy; ; ; 
 ; ;Entropy; ; ; 
 ; ;Homogeneity; ; ; 
 ; ;Homogeneity2; ; ; 
 ; ;InformationMeasureCorr1; ; ; 
 ; ;InformationMeasureCorr2; ; ; 
 ; ;InverseDiffMomentNorm; ; ; 
 ; ;InverseDiffNorm; ; ; 
 ; ;InverseVariance; ; ; 
 ; ;MaxProbability; ; ; 
 ; ;SumAverage; ; ; 
 ; ;SumEntropy; ; ; 
 ; ;SumVariance; ; ; 
 ; ;Variance; ; ; 
 ; ; ; ; ; 
FeatureItem-3; ; ; ; ; 
Category;Parameters;Feature;Parameters;Preprocess;Parameters
GrayLevelRunLengthMatrix25;" Direction=0  90; GrayLimits=0  2100; NumLevels=100; ";GrayLevelNonuniformity; ; ; 
 ; ;HighGrayLevelRunEmpha; ; ; 
 ; ;LongRunEmphasis; ; ; 
 ; ;LongRunHighGrayLevelEmpha; ; ; 
 ; ;LongRunLowGrayLevelEmpha; ; ; 
 ; ;LowGrayLevelRunEmpha; ; ; 
 ; ;RunLengthNonuniformity; ; ; 
 ; ;RunPercentage; ; ; 
 ; ;ShortRunEmphasis; ; ; 
 ; ;ShortRunHighGrayLevelEmpha; ; ; 
 ; ;ShortRunLowGrayLevelEmpha; ; ; 
 ; ; ; ; ; 
FeatureItem-4; ; ; ; ; 
Category;Parameters;Feature;Parameters;Preprocess;Parameters
IntensityDirect;" ThresholdLow=0; ThresholdHigh=8000; ErosionDist=0; OnlyUseMaxSlice=0; ";Energy; ; ; 
 ; ;GlobalEntropy;" NBins=256; RangeMin=0; RangeMax=4096; RangeFix=1; "; ; 
 ; ;GlobalMax; ; ; 
 ; ;GlobalMean; ; ; 
 ; ;GlobalMedian; ; ; 
 ; ;GlobalMin; ; ; 
 ; ;GlobalStd; ; ; 
 ; ;GlobalUniformity;" NBins=256; RangeMin=0; RangeMax=4096; RangeFix=1; "; ; 
 ; ;InterQuartileRange; ; ; 
 ; ;Kurtosis; ; ; 
 ; ;LocalEntropyMax;" NHood=9; RangeMin=0; RangeMax=4096; "; ; 
 ; ;LocalEntropyMean;" NHood=9; RangeMin=0; RangeMax=4096; "; ; 
 ; ;LocalEntropyMedian;" NHood=9; RangeMin=0; RangeMax=4096; "; ; 
 ; ;LocalEntropyMin;" NHood=9; RangeMin=0; RangeMax=4096; "; ; 
 ; ;LocalEntropyStd;" NHood=9; RangeMin=0; RangeMax=4096; "; ; 
 ; ;LocalRangeMax;" NHood=5; "; ; 
 ; ;LocalRangeMean;" NHood=5; "; ; 
 ; ;LocalRangeMedian;" NHood=5; "; ; 
 ; ;LocalRangeMin;" NHood=5; "; ; 
 ; ;LocalRangeStd;" NHood=5; "; ; 
 ; ;LocalStdMax;" NHood=5; "; ; 
 ; ;LocalStdMean;" NHood=5; "; ; 
 ; ;LocalStdMedian;" NHood=5; "; ; 
 ; ;LocalStdMin;" NHood=5; "; ; 
 ; ;LocalStdStd;" NHood=5; "; ; 
 ; ;MeanAbsoluteDeviation; ; ; 
 ; ;MedianAbsoluteDeviation; ; ; 
 ; ;Percentile;" Percentile=5  10  15  20  25  30  35  40  45  50  55  60  65  70  75  80  85  90  95; "; ; 
 ; ;Quantile;" Quantile=0.025        0.25         0.5        0.75       0.975; "; ; 
 ; ;Range; ; ; 
 ; ;RootMeanSquare; ; ; 
 ; ;Skewness; ; ; 
 ; ;Variance; ; ; 
 ; ; ; ; ; 
FeatureItem-5; ; ; ; ; 
Category;Parameters;Feature;Parameters;Preprocess;Parameters
IntensityHistogram;" NBins=256; RangeMin=0; RangeMax=4096; RangeFix=1; OnlyUseMaxSlice=0; ";InterQuartileRange; ; ; 
 ; ;Kurtosis; ; ; 
 ; ;MeanAbsoluteDeviation; ; ; 
 ; ;MedianAbsoluteDeviation; ; ; 
 ; ;Percentile;" Percentile=5  10  15  20  25  30  35  40  45  50  55  60  65  70  75  80  85  90  95; "; ; 
 ; ;PercentileArea;" Percentile=5  10  15  20  25  30  35  40  45  50  55  60  65  70  75  80  85  90  95; "; ; 
 ; ;Quantile;" Quantile=0.025        0.25         0.5        0.75       0.975; "; ; 
 ; ;Range; ; ; 
 ; ;Skewness; ; ; 
 ; ; ; ; ; 
FeatureItem-6; ; ; ; ; 
Category;Parameters;Feature;Parameters;Preprocess;Parameters
NeighborIntensityDifference25;" NHood=3; NHoodSym=1; IncludeEdge=0; AdaptLimitLevel=0; RangeMin=0; RangeMax=4096; NBins=256; ";Busyness; ; ; 
 ; ;Coarseness; ; ; 
 ; ;Complexity; ; ; 
 ; ;Contrast; ; ; 
 ; ;TextureStrength; ; ; 
 ; ; ; ; ; 
FeatureItem-7; ; ; ; ; 
Category;Parameters;Feature;Parameters;Preprocess;Parameters
NeighborIntensityDifference3;" NHood=5; NHoodSym=1; IncludeEdge=0; RangeMin=0; RangeMax=4096; NBins=256; ";Busyness; ; ; 
 ; ;Coarseness; ; ; 
 ; ;Complexity; ; ; 
 ; ;Contrast; ; ; 
 ; ;TextureStrength; ; ; 
 ; ; ; ; ; 
FeatureItem-8; ; ; ; ; 
Category;Parameters;Feature;Parameters;Preprocess;Parameters
Shape; ;Compactness1; ; ; 
 ; ;Compactness2; ; ; 
 ; ;Convex; ; ; 
 ; ;ConvexHullVolume; ; ; 
 ; ;ConvexHullVolume3D; ; ; 
 ; ;Mass; ; ; 
 ; ;Max3DDiameter; ; ; 
 ; ;MeanBreadth; ; ; 
 ; ;NumberOfObjects; ; ; 
 ; ;NumberOfVoxel;" EdgeVoxelFraction=0.5; "; ; 
 ; ;Orientation; ; ; 
 ; ;Roundness; ; ; 
 ; ;SphericalDisproportion; ; ; 
 ; ;Sphericity; ; ; 
 ; ;SurfaceArea; ; ; 
 ; ;SurfaceAreaDensity; ; ; 
 ; ;Volume;" EdgeVoxelFraction=0.5; "; ; 
 ; ;VoxelSize; ; ; 
 ; ; ; ; ; 
